CUSTOMER_ID,EMPLOYEE_SIZE,CUSTOMER_SEGMENT
H01144137,1 to 25,NAM Low-Touch
H01144153,26 to 200,International Partner
H01144229,26 to 200,NAM Partner
H01144509,Undefined,NAM Low-Touch
H01144670,1 to 25,NAM Low-Touch
H01144745,1 to 25,NAM Low-Touch
H01144781,1 to 25,NAM Low-Touch
H01144790,26 to 200,International Direct
H01144806,1 to 25,NAM Low-Touch
H01144893,1 to 25,International Direct
H01144907,201 or Above,NAM High-touch
H01144921,1 to 25,International Direct
H01144954,26 to 200,NAM Direct
H01145027,1 to 25,NAM Partner
H01145138,26 to 200,NAM High-touch
H01241673,26 to 200,NAM Low-Touch
H01241690,26 to 200,International Low-touch
H01241732,26 to 200,International Low-touch
H01241781,26 to 200,NAM Low-Touch
H01242017,26 to 200,NAM Direct
H01242080,1 to 25,International Low-touch
H01242198,1 to 25,International Low-touch
H01242309,201 or Above,NAM Partner
H01242339,1 to 25,NAM Direct
H01242358,1 to 25,International Low-touch
H01242411,1 to 25,NAM Low-Touch
H01242423,1 to 25,NAM High-touch
H01242448,26 to 200,International Direct
H01242676,26 to 200,NAM Partner
H01242704,1 to 25,International Low-touch
H01242769,26 to 200,NAM Partner
H01242847,1 to 25,International Partner
H01242875,26 to 200,International Direct
H01242886,26 to 200,NAM Direct
H01242920,1 to 25,NAM Partner
H01242928,1 to 25,NAM Low-Touch
H01242934,201 or Above,International Direct
H01243052,1 to 25,NAM Low-Touch
H01243386,1 to 25,NAM Direct
H01243419,1 to 25,International Low-touch
H01243426,1 to 25,International Partner
H01243453,1 to 25,NAM Partner
H01243474,1 to 25,NAM Low-Touch
H01243805,201 or Above,NAM Low-Touch
H01243843,1 to 25,International Low-touch
H01243895,201 or Above,NAM High-touch
H01243902,1 to 25,International Direct
H01243920,1 to 25,NAM Direct
H01243999,1 to 25,NAM Low-Touch
H01244005,1 to 25,International Direct
H01244023,1 to 25,NAM Direct
H01244081,1 to 25,International Low-touch
H01244116,1 to 25,International Direct
